FIPStxt,State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022,BIRTHS_2020,BIRTHS_2021,BIRTHS_2022,DEATHS_2020,DEATHS_2021,DEATHS_2022,NATURAL_CHG_2020,NATURAL_CHG_2021,NATURAL_CHG_2022,INTERNATIONAL_MIG_2020,INTERNATIONAL_MIG_2021,INTERNATIONAL_MIG_2022,DOMESTIC_MIG_2020,DOMESTIC_MIG_2021,DOMESTIC_MIG_2022,NET_MIG_2020,NET_MIG_2021,NET_MIG_2022,RESIDUAL_2020,RESIDUAL_2021,RESIDUAL_2022,GQ_ESTIMATES_BASE_2020,GQ_ESTIMATES_2020,GQ_ESTIMATES_2021,GQ_ESTIMATES_2022,R_BIRTH_2021,R_BIRTH_2022,R_DEATH_2021,R_DEATH_2022,R_NATURAL_CHG_2021,R_NATURAL_CHG_2022,R_INTERNATIONAL_MIG_2021,R_INTERNATIONAL_MIG_2022,R_DOMESTIC_MIG_2021,R_DOMESTIC_MIG_2022,R_NET_MIG_2021,R_NET_MIG_2022
00000,US,United States,,,,,,"331,449,281","331,449,520","331,511,512","332,031,554","333,287,557","61,992","520,042","1,256,003","894,123","3,582,436","3,688,179","852,024","3,438,423","3,443,099","42,099","144,013","245,080","19,893","376,029","1,010,923",0,0,0,"19,893","376,029","1,010,923",0,0,0,,,,,10.8,11.1,10.4,10.4,0.4,0.7,1.1,3.0,0.0,0.0,1.1,3.0
01000,AL,Alabama,,,,,,"5,024,279","5,024,356","5,031,362","5,049,846","5,074,296","7,006","18,484","24,450","13,867","57,112","58,280","15,165","69,056","66,870","-1,298","-11,944","-8,590",127,"1,805","4,597","9,042","27,704","28,609","9,169","29,509","33,206",-865,919,-166,"127,918","131,155","134,475",141319.0,11.3,11.5,13.7,13.2,-2.4,-1.7,0.4,0.9,5.5,5.7,5.9,6.6
01001,AL,Autauga County,2,2,2,2,0,"58,805","58,802","58,902","59,210","59,759",100,308,549,162,694,709,177,682,673,-15,12,36,0,15,27,99,240,508,99,255,535,16,41,-22,478,478,478,478.0,11.8,11.9,11.5,11.3,0.2,0.6,0.3,0.5,4.1,8.5,4.3,9.0
01003,AL,Baldwin County,4,3,5,2,5,"231,767","231,761","233,219","239,361","246,435","1,458","6,142","7,074",560,"2,367","2,411",593,"3,044","2,909",-33,-677,-498,11,105,315,"1,592","6,969","6,982","1,603","7,074","7,297",-112,-255,275,"3,546","3,450","3,360",3369.0,10.0,9.9,12.9,12.0,-2.9,-2.1,0.4,1.3,29.5,28.7,29.9,30.0
01005,AL,Barbour County,6,6,6,6,3,"25,223","25,224","24,960","24,539","24,706",-264,-421,167,60,276,277,93,383,372,-33,-107,-95,0,0,4,-195,-308,243,-195,-308,247,-36,-6,15,"2,716","2,475","2,244",2701.0,11.2,11.2,15.5,15.1,-4.3,-3.9,0.0,0.2,-12.4,9.9,-12.4,10.0
01007,AL,Bibb County,1,1,1,1,0,"22,293","22,300","22,183","22,370","22,005",-117,187,-365,56,244,248,55,318,321,1,-74,-73,0,1,2,-107,259,-301,-107,260,-299,-11,1,7,"2,147","2,063","2,002",2033.0,11.0,11.2,14.3,14.5,-3.3,-3.3,0.0,0.1,11.6,-13.6,11.7,-13.5
01009,AL,Blount County,1,1,1,1,0,"59,134","59,130","59,102","59,085","59,512",-28,-17,427,137,656,674,201,865,844,-64,-209,-170,1,9,14,21,140,592,22,149,606,14,43,-9,616,616,616,616.0,11.1,11.4,14.6,14.2,-3.5,-2.9,0.2,0.2,2.4,10.0,2.5,10.2
01011,AL,Bullock County,6,6,6,6,3,"10,357","10,362","10,296","10,280","10,202",-66,-16,-78,24,110,112,40,150,149,-16,-40,-37,0,1,1,-44,18,-39,-44,19,-38,-6,5,-3,"1,706","1,696","1,704",1702.0,10.7,10.9,14.6,14.5,-3.9,-3.6,0.1,0.1,1.7,-3.8,1.8,-3.7
01013,AL,Butler County,6,6,6,6,0,"19,051","19,055","19,031","18,855","18,650",-24,-176,-205,47,219,222,88,331,317,-41,-112,-95,0,5,11,15,-75,-116,15,-70,-105,2,6,-5,288,288,288,288.0,11.6,11.8,17.5,16.9,-5.9,-5.1,0.3,0.6,-4.0,-6.2,-3.7,-5.6
01015,AL,Calhoun County,3,3,2,2,4,"116,441","116,444","116,239","115,677","115,788",-205,-562,111,305,"1,276","1,303",396,"1,868","1,832",-91,-592,-529,0,12,35,-119,-68,637,-119,-56,672,5,86,-32,"5,631","5,554","5,410",5752.0,11.0,11.3,16.1,15.8,-5.1,-4.6,0.1,0.3,-0.6,5.5,-0.5,5.8
